description,city,district,street,latitude,longitude,date,price,SQ,price_meter,rooms,sauna
balcony access block,Espoo,Lippajärvi,Ingaksenmäki2,60.223864,24.693691,Available immediately,790.00,24.00,32.92,1h,no_sauna
balcony access block,Espoo,Saunalahti,Itäviitta6A,60.166892,24.614854,Available from 12/1/21,730.00,36.00,20.28,1h,no_sauna
balcony access block,Espoo,Leppävaara,Nuotiopiha1B29,60.22063,24.809466,Available immediately,589.22,37.50,15.71,1h,sauna
balcony access block,Espoo,Soukka,Kastevuorenkuja1,60.137964,24.676331,Available immediately,800.00,46.50,17.20,1h,sauna
balcony access block,Espoo,,Friisinmäenaukio7,60.209097,24.782737,Available from 1/1/22,595.40,35.50,16.77,1h,no_sauna
balcony access block,Espoo,,Ingaksenmäki2,60.223864,24.693691,Available from 12/1/21,690.00,24.00,28.75,1h,no_sauna
balcony access block,Espoo,,Ingaksenmäki2,60.223864,24.693691,Available immediately,690.00,24.00,28.75,1h,no_sauna
balcony access block,Espoo,Kauklahti,Bassenkuja1,60.184653,24.601151,Available from 12/1/21,720.00,24.00,30.00,1h,no_sauna
balcony access block,Espoo,Järvenperä,Viljatullintie2-4,60.229262,24.697285,Available from 1/1/22,675.00,28.50,23.68,1h,no_sauna
balcony access block,Espoo,Järvenperä,Viljatullintie2-4,60.229262,24.697285,Available from 12/1/21,675.00,28.50,23.68,1h,no_sauna
balcony access block,Espoo,Järvenperä,Viljatullintie2-4,60.229262,24.697285,Available from 12/1/21,680.00,28.50,23.86,1h,no_sauna
balcony access block,Espoo,Tontunmäki,Kotitontuntie6-8B,60.174061,24.766071,Available immediately,849.00,63.00,13.48,2h,no_sauna
balcony access block,Espoo,Kivenlahti,Merivirta11,60.15724,24.641398,Available immediately,770.00,53.00,14.53,2h,no_sauna
balcony access block,Espoo,Karvasmäki,VanhaTuruntie7513,60.217995,24.661109,Available immediately,767.00,55.50,13.82,2h,no_sauna
balcony access block,Espoo,Karvasmäki,VanhaTuruntie7512,60.217995,24.661109,Available immediately,767.00,55.50,13.82,2h,no_sauna
balcony access block,Espoo,Järvenperä,Aurorankuja5,60.237172,24.701246,Available from 12/16/21,850.00,58.00,14.66,2h,sauna
balcony access block,Espoo,Kauklahti,Fickenkuja2C-E,60.184653,24.601151,Available from 1/1/22,739.20,57.50,12.86,2h,sauna
balcony access block,Espoo,Kauklahti,Fickenkuja2C-E,60.184653,24.601151,Available from 12/1/21,726.46,57.50,12.63,2h,sauna
balcony access block,Espoo,Tontunmäki,Nokitontunkuja2,60.175026,24.775695,Available immediately,890.00,45.00,19.78,2h,sauna
balcony access block,Espoo,Karvasmäki,VanhaTuruntie75H-S,60.217995,24.661109,Available immediately,750.00,46.50,16.13,2h,sauna
balcony access block,Espoo,,Friisinmäenaukio7,60.209097,24.782737,Available from 1/1/22,802.14,44.00,18.23,2h,no_sauna
balcony access block,Espoo,Järvenperä,Pellaksenmäentie13,60.229488,24.689124,Available immediately,797.62,42.00,18.99,2h,no_sauna
