,description,city,district,street,latitude,longitude,date,price,SQ,price_meter,rooms,sauna
0,balcony access block,Espoo,Lippajärvi,Ingaksenmäki2,60.223864,24.693691,Available immediately,790.0,24.0,32.92,1h,no_sauna
1,balcony access block,Espoo,Saunalahti,Itäviitta6A,60.166892,24.614854,Available from 12/1/21,730.0,36.0,20.28,1h,no_sauna
2,balcony access block,Espoo,Leppävaara,Nuotiopiha1B29,60.22063,24.809466,Available immediately,589.22,37.5,15.71,1h,sauna
3,balcony access block,Espoo,Soukka,Kastevuorenkuja1,60.137964,24.676331,Available immediately,800.0,46.5,17.2,1h,sauna
4,balcony access block,Espoo,,Friisinmäenaukio7,60.209097,24.782737,Available from 1/1/22,595.4,35.5,16.77,1h,no_sauna
5,balcony access block,Espoo,,Ingaksenmäki2,60.223864,24.693691,Available from 12/1/21,690.0,24.0,28.75,1h,no_sauna
6,balcony access block,Espoo,,Ingaksenmäki2,60.223864,24.693691,Available immediately,690.0,24.0,28.75,1h,no_sauna
7,balcony access block,Espoo,Kauklahti,Bassenkuja1,60.184653,24.601151,Available from 12/1/21,720.0,24.0,30.0,1h,no_sauna
8,balcony access block,Espoo,Järvenperä,Viljatullintie2-4,60.229262,24.697285,Available from 1/1/22,675.0,28.5,23.68,1h,no_sauna
9,balcony access block,Espoo,Järvenperä,Viljatullintie2-4,60.229262,24.697285,Available from 12/1/21,675.0,28.5,23.68,1h,no_sauna
10,balcony access block,Espoo,Järvenperä,Viljatullintie2-4,60.229262,24.697285,Available from 12/1/21,680.0,28.5,23.86,1h,no_sauna
11,balcony access block,Espoo,Tontunmäki,Kotitontuntie6-8B,60.174061,24.766071,Available immediately,849.0,63.0,13.48,2h,no_sauna
12,balcony access block,Espoo,Kivenlahti,Merivirta11,60.15724,24.641398,Available immediately,770.0,53.0,14.53,2h,no_sauna
13,balcony access block,Espoo,Karvasmäki,VanhaTuruntie7513,60.217995,24.661109,Available immediately,767.0,55.5,13.82,2h,no_sauna
14,balcony access block,Espoo,Karvasmäki,VanhaTuruntie7512,60.217995,24.661109,Available immediately,767.0,55.5,13.82,2h,no_sauna
15,balcony access block,Espoo,Järvenperä,Aurorankuja5,60.237172,24.701246,Available from 12/16/21,850.0,58.0,14.66,2h,sauna
16,balcony access block,Espoo,Kauklahti,Fickenkuja2C-E,60.184653,24.601151,Available from 1/1/22,739.2,57.5,12.86,2h,sauna
17,balcony access block,Espoo,Kauklahti,Fickenkuja2C-E,60.184653,24.601151,Available from 12/1/21,726.46,57.5,12.63,2h,sauna
18,balcony access block,Espoo,Tontunmäki,Nokitontunkuja2,60.175026,24.775695,Available immediately,890.0,45.0,19.78,2h,sauna
19,balcony access block,Espoo,Karvasmäki,VanhaTuruntie75H-S,60.217995,24.661109,Available immediately,750.0,46.5,16.13,2h,sauna
20,balcony access block,Espoo,,Friisinmäenaukio7,60.209097,24.782737,Available from 1/1/22,802.14,44.0,18.23,2h,no_sauna
21,balcony access block,Espoo,Järvenperä,Pellaksenmäentie13,60.229488,24.689124,Available immediately,797.62,42.0,18.99,2h,no_sauna
22,balcony access block,Espoo,Saunalahti,Katajalaakso1,60.167909,24.624479,Available from 12/1/21,721.0,45.5,15.85,2h,no_sauna
23,balcony access block,Espoo,Tuomarila,Puistotie3D,60.20672,24.684481,Available immediately,1050.0,59.0,17.8,3h,sauna
24,balcony access block,Espoo,Järvenperä,Pellaksenmäentie13,60.229488,24.689124,Available immediately,1020.3,60.0,17.0,3h,sauna
25,balcony access block,Espoo,Laaksolahti,Kolkekannaksentie19B,60.239266,24.736798,Available immediately,1950.0,97.0,20.1,4h,no_sauna
26,block of flats,Espoo,Saunalahti,Tiimalasintie6A7,60.167836,24.61437,Available immediately,640.0,20.5,31.22,1h,no_sauna
27,block of flats,Espoo,Kilo,Kilonportti2A,60.217396,24.783783,Available from 12/1/21,740.0,28.5,25.96,1h,no_sauna
