,address,latitude,longitude
0,"Espoo , Kilo , Kilonportti 2 A",60.20956,24.65104
1,"Espoo , Kivenlahti , Merivirta 11",60.15724,24.641398
2,"Espoo , Kivenlahti , Marinportti 5",60.15724,24.641398
3,"Espoo , Matinkylä , Matinkatu 24",61.327868,22.156622
4,"Espoo , Kuitinmäki , Kääntöpiiri 2",60.20956,24.65104
5,"Espoo , Saunalahti , Linjaloistonkatu 7 A",60.20956,24.65104
6,"Espoo , Tuomarila , Kulovalkeantie 19 B",60.206925,24.686109
7,"Espoo , Saunalahti , Kummelivuorentie 10",60.165393,24.621416
8,"Espoo , Kilo , Multahaankuja 6 B",60.221388,24.787757
9,"Espoo , Saunalahti , Tyyrpuuri 4 B",60.20956,24.65104
10,"Espoo , Mäkkylä , Adjutantinkatu 3 C",60.221627,24.834885
11,"Espoo , Mäkkylä , Adjutantinkatu 3 B",60.221627,24.834885
12,"Espoo , Saunalahti , Reelinkikatu 2",60.167792,24.619457
13,"Espoo , Pohjois-Tapiola , Tietäjäntie 3",60.188539,24.802324
14,"Espoo , Kivenlahti , Jälkimaininki 4",60.15724,24.641398
15,"Espoo , Leppävaara , Ruutikatu 8",60.22063,24.809466
16,"Espoo , Suvela , Kirstintie 3",60.200062,24.666112
17,"Espoo , Vermonniitty , Anna Sahlsténin katu 10",60.21383,24.827185
18,"Espoo , Suurpelto , Piilipuuntie 15 C",60.187206,24.740654
19,"Espoo , Vermonniitty , Anna Sahlsténin katu 10",60.21383,24.827185
20,"Espoo , Kivenlahti , Marinkallio 6",60.15724,24.641398
21,"Espoo , Niittykumpu , Niittykummuntie 12",60.172015,24.764398
22,"Espoo , Tapiola , Jousenkaari 9",60.175487,24.803185
23,"Espoo , Suvela , Joupinmäenrinne 3",60.20271,24.67621
24,"Espoo , Mäkkylä , Adjutantinkatu 3 A",60.221627,24.834885
25,"Espoo , Kilo , Ruotutorppa 8 B",60.218008,24.777929
26,"Espoo , Viherlaakso , Viherlaaksonranta 7 F",60.228216,24.731438
27,"Espoo , Matinkylä , Nelikkokuja 12 A",60.161062,24.74144
28,"Espoo , Matinkylä , Matinniitynkuja 8 C",60.159055,24.742541
29,"Espoo , Kauklahti , Bassenkuja 1",60.184653,24.601151
30,"Espoo , Kauklahti , Bassenkuja 1",60.184653,24.601151
31,"Espoo , Tapiola , Jousenkaari 5 A",60.175487,24.803185
32,"Espoo , Soukka , Soukankaari 12 A",60.139603,24.667894
33,"Espoo , Vermonniitty , Runoratsunkatu 1",60.20956,24.65104
34,"Espoo , Leppävaara , Postipuuntie 10",60.22063,24.809466
35,"Espoo , Soukka , Soukankaari 12 C",60.139603,24.667894
36,"Espoo , Tapiola , Hakamäki 2 A",60.175487,24.803185
37,"Espoo , Niittykumpu , Merituulentie 38 A",60.172015,24.764398
38,"Espoo , Leppävaara , Runoratsunkatu 5 A",60.22063,24.809466
39,"Espoo , Tiistilä , KALAONNENTIE 3 B",60.15626,24.728604
40,"Espoo , Kauklahti , Lindankuja 2",60.190131,24.58755
41,"Espoo , Kilo , Nihtitorpankuja 5",60.208151,24.756396
42,"Espoo , Matinkylä , Tiistilänkuja 1",60.15566,24.737558
43,"Espoo , Karakallio , Kotkatie 6 A",60.229283,24.777225
44,"Espoo , Tapiola , Riistapolku 2",61.596719,21.846506
45,"Espoo , Tuomarila , Kulovalkeantie 12 B",60.207254,24.681772
46,"Espoo , Suvela , Kirstintie 17",62.282614,25.754692
47,"Espoo , Suurpelto , Maakirjantie 2",60.184082,24.742871
48,"Espoo , Tillinmäki , Vesipirtintie 4",60.169496,24.624274
49,"Espoo , Tuomarila , Kulovalkeantie 19 C",60.206925,24.686109
50,"Espoo , Tillinmäki , Vesipirtintie 4",60.169496,24.624274
51,"Espoo , Laaksolahti , Laaksolahdentie 58",60.246322,24.758284
52,"Espoo , Saunalahti , Magneettikatu 5",60.169424,24.617771
53,"Espoo , Gumböle , Hirvisuontie 5 A 10",60.217281,24.628092
54,"Espoo , Saunalahti , Reelinkikatu 4 B 50",60.20956,24.65104
