Column 1,Column 2,Column 3,Column 4,Column 5
984 €/m,"block of flats, 48 m²",2H + KT,"Espoo
    , Kilo 
 
    , Kilonportti 2 A",Available from 12/1/21
770 €/m,"balcony access block, 53 m²",2h + k + lasit. p,"Espoo
    , Kivenlahti 
 
    , Merivirta 11",Available immediately
780 €/m,"block of flats, 33 m²",1h + kt + alk + lasit. p,"Espoo
    , Kivenlahti 
 
    , Marinportti 5",Available from 1/1/22
920 €/m,"block of flats, 61 m²",2h + k + lasit. p,"Espoo
    , Matinkylä 
 
    , Matinkatu 24",Available from 1/1/22
"1,600 €/m","block of flats, 124 m²",5h + k + p,"Espoo
    , Kuitinmäki 
 
    , Kääntöpiiri 2",Available on agreement
690 €/m,"block of flats, 30.5 m²",1h+avok+kph+lasit. p,"Espoo
    , Saunalahti 
 
    , Linjaloistonkatu 7 A",Available from 1/1/22
"1,175 €/m","block of flats, 67 m²",3h+avok+kph+s+lp,"Espoo
    , Tuomarila 
 
    , Kulovalkeantie 19 B",Available from 12/1/21
690 €/m,"block of flats, 28 m²",1h + ak + p,"Espoo
    , Saunalahti 
 
    , Kummelivuorentie 10",Available from 12/1/21
"1,125 €/m","block of flats, 60 m²",3h+kt+parv,"Espoo
    , Kilo 
 
    , Multahaankuja 6 B",Available from 1/1/22
"1,150 €/m","block of flats, 63 m²",3h+kt,"Espoo
    , Saunalahti 
 
    , Tyyrpuuri 4 B",Available from 1/1/22
"1,628 €/m","block of flats, 80 m²",4h+k+s,"Espoo
    , Mäkkylä 
 
    , Adjutantinkatu 3 C",Available from 1/1/22
"1,195 €/m","block of flats, 61 m²",3h+kk+s,"Espoo
    , Mäkkylä 
 
    , Adjutantinkatu 3 B",Available from 1/1/22
961 €/m,"block of flats, 52 m²",2H+KT,"Espoo
    , Saunalahti 
 
    , Reelinkikatu 2",Available from 1/1/22
965 €/m,"block of flats, 49 m²",2H+KK,"Espoo
    , Pohjois-Tapiola 
 
    , Tietäjäntie 3",Available from 12/1/21
"1,285 €/m","block of flats, 89 m²",4H+K,"Espoo
    , Kivenlahti 
 
    , Jälkimaininki 4",Available immediately
680 €/m,"block of flats, 28.5 m²",1h + kk + parveke + s,"Espoo
    , Leppävaara 
 
    , Ruutikatu 8",Available from 1/1/22
"1,100 €/m","block of flats, 73 m²",3h + k + p,"Espoo
    , Suvela 
 
    , Kirstintie 3",Available immediately
770 €/m,"block of flats, 31 m²",1h+kt,"Espoo
    , Vermonniitty 
 
    , Anna Sahlsténin katu 10",Available from 1/3/22
"1,262 €/m","block of flats, 75 m²",3h+kt,"Espoo
    , Suurpelto 
 
    , Piilipuuntie 15 C",Available from 12/1/21
"1,150 €/m","block of flats, 59 m²",3h+kt,"Espoo
    , Vermonniitty 
 
    , Anna Sahlsténin katu 10",Available from 1/3/22
798 €/m,"block of flats, 34 m²",1H+KT,"Espoo
    , Kivenlahti 
 
    , Marinkallio 6",Available from 1/1/22
860 €/m,"block of flats, 34 m²",1H+KT,"Espoo
    , Niittykumpu 
 
    , Niittykummuntie 12",Available from 4/1/22
900 €/m,"block of flats, 52 m²",2h + k,"Espoo
    , Tapiola 
 
    , Jousenkaari 9",Available from 12/1/21
850 €/m,"block of flats, 55 m²",2h + k + lasit. p s,"Espoo
    , Suvela 
 
    , Joupinmäenrinne 3",Available immediately
"1,870 €/m","block of flats, 100.5 m²",5h+k+s,"Espoo
    , Mäkkylä 
 
    , Adjutantinkatu 3 A",Available from 1/1/22
"1,208.27 €/m","block of flats, 72 m²",3h+k+s,"Espoo
    , Kilo 
 
    , Ruotutorppa 8 B",Available from 1/1/22
699 €/m,"block of flats, 26.2 m²",1h+kk,"Espoo
    , Viherlaakso 
 
    , Viherlaaksonranta 7 F",Available from 1/1/22
959 €/m,"block of flats, 46 m²",2h+kk+s,"Espoo
    , Matinkylä 
 
    , Nelikkokuja 12 A",Available from 1/1/22
839 €/m,"block of flats, 33.5 m²",1h+k,"Espoo
    , Matinkylä 
 
    , Matinniitynkuja 8 C",Available from 1/1/22
720 €/m,"balcony access block, 24 m²",1h + kt + parvi,"Espoo
    , Kauklahti 
 
    , Bassenkuja 1",Available from 12/1/21
720 €/m,"block of flats, 24 m²",1h + ak + p,"Espoo
    , Kauklahti 
 
    , Bassenkuja 1",Available from 12/1/21
719 €/m,"block of flats, 21 m²",1h+kk,"Espoo
    , Tapiola 
 
    , Jousenkaari 5 A",Available from 1/1/22
899 €/m,"block of flats, 51 m²",2h+kk+s,"Espoo
    , Soukka 
 
    , Soukankaari 12 A",Available from 1/1/22
"1,250 €/m","block of flats, 68 m²",3H+KT+S+terassiparveke,"Espoo
    , Vermonniitty 
 
    , Runoratsunkatu 1",Available immediately
"1,495 €/m","block of flats, 93 m²",4H+K+S,"Espoo
    , Leppävaara 
 
    , Postipuuntie 10",Available from 12/15/21
899 €/m,"block of flats, 51 m²",2h+kk+s,"Espoo
    , Soukka 
 
    , Soukankaari 12 C",Available from 2/1/22
750 €/m,"block of flats, 45 m²",2 H + K+ Parveke,"Espoo
    , Tapiola 
 
    , Hakamäki 2 A",Available immediately
"1,199 €/m","block of flats, 60.5 m²",3h+kt,"Espoo
    , Niittykumpu 
 
    , Merituulentie 38 A",Available from 12/1/21
"1,429 €/m","block of flats, 73 m²",3h+kt+s,"Espoo
    , Leppävaara 
 
    , Runoratsunkatu 5 A",Available from 1/1/22
926 €/m,"block of flats, 46 m²",2H+KK+S,"Espoo
    , Tiistilä 
 
    , KALAONNENTIE 3 B",Available from 1/1/22
"1,007 €/m","block of flats, 55 m²",2h+kt+s,"Espoo
    , Kauklahti 
 
    , Lindankuja 2",Available immediately
931 €/m,"block of flats, 53 m²",2h+kt+s,"Espoo
    , Kilo 
 
    , Nihtitorpankuja 5",Available from 12/1/21
"1,148 €/m","block of flats, 74.5 m²",3H+K,"Espoo
    , Matinkylä 
 
    , Tiistilänkuja 1",Available from 1/1/22
"1,329 €/m","block of flats, 97 m²",4h+k,"Espoo
    , Karakallio 
 
    , Kotkatie 6 A",Available from 1/1/22
895 €/m,"block of flats, 49.2 m²",2 h + k + kylpyhuone + parveke,"Espoo
    , Tapiola 
 
    , Riistapolku 2",Available from 1/1/22
986.36 €/m,"block of flats, 57 m²",2h+k+s+parv,"Espoo
    , Tuomarila 
 
    , Kulovalkeantie 12 B",Available from 1/1/22
875 €/m,"block of flats, 49.5 m²",2H+KK,"Espoo
    , Suvela 
 
    , Kirstintie 17",Available from 1/1/22
641.51 €/m,"block of flats, 41.5 m²",2H+KK,"Espoo
    , Suurpelto 
 
    , Maakirjantie 2",Available from 12/10/21
"1,120 €/m","block of flats, 60 m²",3h+k+s,"Espoo
    , Tillinmäki 
 
    , Vesipirtintie 4",Available from 1/3/22
936 €/m,"block of flats, 47 m²",2h+kt+s,"Espoo
    , Tuomarila 
 
    , Kulovalkeantie 19 C",Available immediately
845 €/m,"block of flats, 43 m²",2h+kt,"Espoo
    , Tillinmäki 
 
    , Vesipirtintie 4",Available from 1/3/22
"1,495 €/m","semi-detached house, 90 m²",4+1,"Espoo
    , Laaksolahti 
 
    , Laaksolahdentie 58",Available from 12/31/21
930 €/m,"block of flats, 50 m²",2h + k,"Espoo
    , Saunalahti 
 
    , Magneettikatu 5",Available from 12/5/21
819.53 €/m,"block of flats, 74.5 m²",3H+K+S,"Espoo
    , Gumböle 
 
    , Hirvisuontie 5 A 10",Available from 12/27/21
526.14 €/m,"block of flats, 33 m²",1H+KT+ALK,"Espoo
    , Saunalahti 
 
    , Reelinkikatu 4 B 50",Available from 3/1/22
"1,064.28 €/m","row house, 91.5 m²",3H+KK+ASK+S,"Espoo
    , Niipperi 
 
    , Suopurontie 3 D 09",Available from 5/1/22
