Merkki,Vuosi,Ajettu,Hinta,Date
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid ActiveEdtion|2019|23 000|23 850 €|06-2021",2019,23 000,23 850 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|37 000|22 980 €|08-2021",2019,37 000,22 980 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|44 000|22 980 €|08-2021",2019,44 000,22 980 €,08-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition #vetokoukku #1.om. #alv.väh.kelp. #tutkat|2019|38 000|22 990 €(incl. VAT)|05-2021",2019,38 000,22 990 €(incl. VAT),05-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|59 000|20 890 €|06-2021",2019,59 000,20 890 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|28 000|24 480 €|07-2021",2019,28 000,24 480 €,07-2021
"Toyota Auris (1.8) 1,8 Hybrid Active Edition|2019|45 188|22 960 €|07-2021",2019,45 188,22 960 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|32 000|21 890 €|07-2021",2019,32 000,21 890 €,07-2021
"Toyota Auris (1.8) Toyota AURIS Touring Sports 1,8 Hybrid ActiveEdt(19.1|2019|40 000|21 990 €|07-2021",2019,40 000,21 990 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|26 000|23 900 €|06-2021",2019,26 000,23 900 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition / NAVI / *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|23 000|22 890 €|07-2021",2019,23 000,22 890 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|25 000|21 890 €|07-2021",2019,25 000,21 890 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition|2019|48 000|22 850 €|06-2021",2019,48 000,22 850 €,06-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition NAVI *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|30 000|22 790 €|07-2021",2019,30 000,22 790 €,07-2021
"Toyota Auris (1.8) Touring Sports 1,8 Hybrid Active Edition NAVI *** Korkotarjous 1% + kulut, ensimmäinen erä 3kk päästä|2019|27 000|22 900 €|06-2021",2019,27 000,22 900 €,06-2021
