Merkki,Vuosi,Ajettu,Hinta,Date
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Style - **Korkotarjous 1,59%+kulut**Toimitusmahdollisuus koko Suomeen** - Huippusiisti Style,|2019|32 971|31 990 €|09-2021",2019,32 971,31 990 €,09-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Style/1-om/ Tehdastakuu/ Huippusiisti/|2019|26 000|31 800 €|10-2021",2019,26 000,31 800 €,10-2021
"Toyota Corolla (2) Toyota COROLLA Touring Sports 2,0 Hybrid Active + Plus paketti|2019|65 000|26 990 €|09-2021",2019,65 000,26 990 €,09-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active Business|2019|41 000|26 880 €|09-2021",2019,41 000,26 880 €,09-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active *Plus-paketti* - *Toyota Approved - 12 kk maksuton vaihtoautoturva ilman kilometrirajoi|2019|31 800|27 900 €|08-2021",2019,31 800,27 900 €,08-2021
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
Toyota Corolla (1.8)|2019|52 110|24 500 €|10-2021,2019,52 110,24 500 €,10-2021
"Toyota Corolla (1.2) Touring Sports 1,2 T Active Multidrive S|2019|2 000|26 590 €(incl. VAT)|09-2021",2019,2 000,26 590 €(incl. VAT),09-2021
"Toyota Corolla (1.8) Hatchback 1,8 Hybrid Active Business *Suomi-auto / 1-Omisteinen / Comfort paketti / lohkolämmitin*|2019|35 000|24 790 €|09-2021",2019,35 000,24 790 €,09-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active|2019|42 000|27 900 €|09-2021",2019,42 000,27 900 €,09-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active - 1 om. - Suomi auto - Tehdastakuu 4/22 asti - Merkki huollettu - *|2019|53 000|25 400 €|08-2021",2019,53 000,25 400 €,08-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active Business // Navi / Kessy / Suomi-auto /|2019|52 000|25 400 €|09-2021",2019,52 000,25 400 €,09-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active / PLUS PAKETTI / NAVI / ALV. VÄH. KELP /|2019|40 000|28 490 €|08-2021",2019,40 000,28 490 €,08-2021
"Toyota Corolla (1.8) Hatchback 1,8 Hybrid Active / Adapt. Vakkari / MirrorLink / LED|2019|57 000|24 890 €|10-2021",2019,57 000,24 890 €,10-2021
Toyota Corolla (1.8) Touring Sports 1.8 Hybrid Premium Business / Hud / Multi-LED / Pilot Assist  *Huippuvarusteet!*  ***|2019|31 000|27 900 €|09-2021,2019,31 000,27 900 €,09-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active - Plus paketilla!|2019|44 000|24 900 €|09-2021",2019,44 000,24 900 €,09-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active|2019|33 000|24 900 €|09-2021",2019,33 000,24 900 €,09-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active ** 1-Omisteinen / Suomi-auto / Tehdastakuu **|2019|37 000|27 980 €|10-2021",2019,37 000,27 980 €,10-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid TREK TEHDASTAKUU/ VÄHÄN AJETTU|2019|25 000|26 900 €|11-2021",2019,25 000,26 900 €,11-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Style ** 1-om / Adapt. cruise / P-kamera / LED / Juuri tullut! **|2019|52 000|24 900 €(incl. VAT)|09-2021",2019,52 000,24 900 €(incl. VAT),09-2021
"Toyota Corolla (1.8) Hatchback 1,8 Hybrid Active Business|2019|20 000|23 900 €|09-2021",2019,20 000,23 900 €,09-2021
"Toyota Corolla (1.8) Hatchback 1,8 Hybrid Active|2019|46 000|24 450 €|09-2021",2019,46 000,24 450 €,09-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active Business / NAVI / ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|13 000|28 980 €|09-2021",2019,13 000,28 980 €,09-2021
Toyota Corolla (1.8)|2019|16 000|24 790 €|11-2021,2019,16 000,24 790 €,11-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active ** Juuri tullut / Adapt. cruise / P-kamera / LED  **|2019|27 000|25 400 €|09-2021",2019,27 000,25 400 €,09-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Life - Juuri huollettu / Adaptiivinen vakionopeudensäädin / 2xrenkaat|2019|20 000|24 700 €|09-2021",2019,20 000,24 700 €,09-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Style / Sis. alv / Adapt. vakkari / Kaistavahti / Peruutuskamera / Ratin lämmitys /|2019|90 000|23 899 €(incl. VAT)|09-2021",2019,90 000,23 899 €(incl. VAT),09-2021
Toyota Corolla (1.8) / Alv. väh. / Adapt. Cruise / Mirror Link / Kamera /|2019|56 000|24 890 €(incl. VAT)|09-2021,2019,56 000,24 890 €(incl. VAT),09-2021
"Toyota Corolla (1.8) *UPEAT VARUSTEET*1.8 Hybrid Hatchback Style Plus Aut. Tarkastettuna, Rahoituksella, Kotiin toimitettuna!|2019|28 000|25 590 €|11-2021",2019,28 000,25 590 €,11-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active Business / Navi ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|23 000|27 980 €|09-2021",2019,23 000,27 980 €,09-2021
